(2024-12-07 00:18:40),0.0252204,0,start,1576.4,402,LicenseMgr Init : 
(2024-12-07 00:18:41),0.0398243,0,end,1581.67,403,LicenseMgr Init : 
(2024-12-07 00:18:48),0.161565,0,start,1671.53,451,VCS Read Task : 
(2024-12-07 00:18:52),0.228225,0,end,1671.53,453,VCS Read Task : 
(2024-12-07 00:18:52),0.229553,0,start,1671.53,449,Load VCS Message: 
(2024-12-07 00:18:52),0.231785,0,end,1671.53,449,Load VCS Message: 
(2024-12-07 00:18:52),0.231938,0,start,1671.53,449,NLDM Creation : 
(2024-12-07 00:18:52),0.232013,0,start,1671.53,449,LoadCircuitModel : 
(2024-12-07 00:18:52),0.232315,0,start,1671.53,450,VsiLib_Restore : 
(2024-12-07 00:18:52),0.232442,0,end,1671.53,450,VsiLib_Restore : 
(2024-12-07 00:18:52),0.232545,0,end,1671.53,450,LoadCircuitModel : 
(2024-12-07 00:18:52),0.232637,0,start,1671.53,450,BuildNetlist : 
(2024-12-07 00:18:52),0.232731,0,start,1671.53,450,NLDM Build : 
(2024-12-07 00:18:52),0.233462,0,end,1687.29,470,NLDM Build : 
(2024-12-07 00:18:52),0.233631,1,start,1687.29,470,Cell properties : 
(2024-12-07 00:18:52),0.233726,1,end,1687.29,470,Cell properties : 
(2024-12-07 00:18:52),0.233833,0,end,1687.29,470,BuildNetlist : 
(2024-12-07 00:18:52),0.233944,0,end,1687.29,470,NLDM Creation : 
(2024-12-07 00:18:52),0.234342,0,start,1687.29,470,PropertyLoad: Formal Property : 
(2024-12-07 00:18:52),0.236111,0,end,1687.29,470,PropertyLoad: Formal Property : 
(2024-12-07 00:18:52),0.236184,0,start,1687.29,470,PropertyLoad: Formal Property : 
(2024-12-07 00:18:52),0.236263,0,end,1687.29,470,PropertyLoad: Formal Property : 
(2024-12-07 00:18:52),0.236347,0,start,1687.29,470,PropertyLoad: Formal Property : 
(2024-12-07 00:18:52),0.23642,0,end,1687.29,470,PropertyLoad: Formal Property : 
(2024-12-07 00:18:52),0.236503,0,start,1687.29,470,set_abstractions: InvokedInAutoMode : 
(2024-12-07 00:18:52),0.236564,0,end,1687.29,470,set_abstractions: InvokedInAutoMode : 
(2024-12-07 00:18:52),0.236832,0,start,1687.29,470,StaticCheck: StaticCheckProcess : 
(2024-12-07 00:18:52),0.236905,0,start,1687.29,470,StaticCheck: NldfgFlatDesign : 
(2024-12-07 00:18:52),0.236958,0,start,1687.29,470,StaticCheck: createFlatDesign : 
(2024-12-07 00:18:52),0.237143,0,end,1695.31,479,StaticCheck: createFlatDesign : 
(2024-12-07 00:18:52),0.237209,0,start,1695.31,479,StaticCheck: legalize : 
(2024-12-07 00:18:52),0.23731,0,end,1695.31,479,StaticCheck: legalize : 
(2024-12-07 00:18:52),0.237422,0,start,1695.31,479,StaticCheck: computeNetEquivalences : 
(2024-12-07 00:18:52),0.237501,0,end,1695.31,479,StaticCheck: computeNetEquivalences : 
(2024-12-07 00:18:52),0.237608,0,start,1695.31,480,StaticCheck: eliminateBidirectionals : 
(2024-12-07 00:18:53),0.237753,0,end,1695.31,480,StaticCheck: eliminateBidirectionals : 
(2024-12-07 00:18:53),0.237856,0,end,1695.31,480,StaticCheck: NldfgFlatDesign : 
(2024-12-07 00:18:53),0.23797,0,start,1695.31,480,StaticCheck: CombLoopCheck  : 
(2024-12-07 00:18:53),0.238115,0,end,1695.31,480,StaticCheck: CombLoopCheck  : 
(2024-12-07 00:18:53),0.238194,0,start,1695.31,480,StaticCheck: MultiDriverCheck  : 
(2024-12-07 00:18:53),0.238295,0,end,1695.31,480,StaticCheck: MultiDriverCheck  : 
(2024-12-07 00:18:53),0.238398,0,end,1695.31,470,StaticCheck: StaticCheckProcess : 
(2024-12-07 00:18:53),0.238758,0,start,1695.31,470,populate SSF data: 
(2024-12-07 00:18:53),0.238849,0,end,1695.31,470,populate SSF data: 
