M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: before LicenseMgr Init : M=1576.4mb, Malloc-M=402mb, Available-M=44588mb, T=0s CPU=0s W=(2024-12-07 00:18:40)
STATS:: after  LicenseMgr Init : M=1581.67mb, Malloc-M=403mb, Available-M=44490mb, T=1s CPU=0.8s W=(2024-12-07 00:18:41)
M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: before VCS Read Task : M=1671.53mb, Malloc-M=451mb, Available-M=43927mb, T=0s CPU=0s W=(2024-12-07 00:18:48)
STATS:: after  VCS Read Task : M=1671.53mb, Malloc-M=453mb, Available-M=43769mb, T=4s CPU=1.88s W=(2024-12-07 00:18:52)
STATS:: before Load VCS Message: M=1671.53mb, Malloc-M=449mb, Available-M=43781mb, T=0s CPU=0s W=(2024-12-07 00:18:52)
STATS:: after  Load VCS Message: M=1671.53mb, Malloc-M=449mb, Available-M=43779mb, T=0s CPU=0.16s W=(2024-12-07 00:18:52)
STATS:: before NLDM Creation : M=1671.53mb, Malloc-M=449mb, Available-M=43775mb, T=0s CPU=0s W=(2024-12-07 00:18:52)
STATS:: |   before LoadCircuitModel : M=1671.53mb, Malloc-M=449mb, Available-M=43773mb, T=0s CPU=0s W=(2024-12-07 00:18:52)
STATS:: |   |   before VsiLib_Restore : M=1671.53mb, Malloc-M=450mb, Available-M=43774mb, T=0s CPU=0s W=(2024-12-07 00:18:52)
STATS:: |   |   after  VsiLib_Restore : M=1671.53mb, Malloc-M=450mb, Available-M=43771mb, T=0s CPU=0s W=(2024-12-07 00:18:52)
STATS:: |   after  LoadCircuitModel : M=1671.53mb, Malloc-M=450mb, Available-M=43769mb, T=0s CPU=0.04s W=(2024-12-07 00:18:52)
STATS:: |   before BuildNetlist : M=1671.53mb, Malloc-M=450mb, Available-M=43767mb, T=0s CPU=0s W=(2024-12-07 00:18:52)
STATS:: |   |   before NLDM Build : M=1671.53mb, Malloc-M=450mb, Available-M=43764mb, T=0s CPU=0s W=(2024-12-07 00:18:52)
STATS:: |   |   after  NLDM Build : M=1687.29mb, Malloc-M=470mb, Available-M=43736mb, T=0s CPU=0.07s W=(2024-12-07 00:18:52)
STATS:: |   |   before Cell properties : M=1687.29mb, Malloc-M=470mb, Available-M=43735mb, T=0s CPU=0s W=(2024-12-07 00:18:52)
STATS:: |   |   after  Cell properties : M=1687.29mb, Malloc-M=470mb, Available-M=43733mb, T=0s CPU=0.01s W=(2024-12-07 00:18:52)
STATS:: |   after  BuildNetlist : M=1687.29mb, Malloc-M=470mb, Available-M=43730mb, T=0s CPU=0.09s W=(2024-12-07 00:18:52)
STATS:: after  NLDM Creation : M=1687.29mb, Malloc-M=470mb, Available-M=43726mb, T=0s CPU=0.16s W=(2024-12-07 00:18:52)
STATS:: before PropertyLoad: Formal Property : M=1687.29mb, Malloc-M=470mb, Available-M=43723mb, T=0s CPU=0s W=(2024-12-07 00:18:52)
STATS:: after  PropertyLoad: Formal Property : M=1687.29mb, Malloc-M=470mb, Available-M=43681mb, T=0s CPU=0.11s W=(2024-12-07 00:18:52)
STATS:: before PropertyLoad: Formal Property : M=1687.29mb, Malloc-M=470mb, Available-M=43680mb, T=0s CPU=0s W=(2024-12-07 00:18:52)
STATS:: after  PropertyLoad: Formal Property : M=1687.29mb, Malloc-M=470mb, Available-M=43677mb, T=0s CPU=0s W=(2024-12-07 00:18:52)
STATS:: before PropertyLoad: Formal Property : M=1687.29mb, Malloc-M=470mb, Available-M=43677mb, T=0s CPU=0s W=(2024-12-07 00:18:52)
STATS:: after  PropertyLoad: Formal Property : M=1687.29mb, Malloc-M=470mb, Available-M=43675mb, T=0s CPU=0s W=(2024-12-07 00:18:52)
STATS:: before set_abstractions: InvokedInAutoMode : M=1687.29mb, Malloc-M=470mb, Available-M=43675mb, T=0s CPU=0s W=(2024-12-07 00:18:52)
STATS:: after  set_abstractions: InvokedInAutoMode : M=1687.29mb, Malloc-M=470mb, Available-M=43674mb, T=0s CPU=0s W=(2024-12-07 00:18:52)
STATS:: before StaticCheck: StaticCheckProcess : M=1687.29mb, Malloc-M=470mb, Available-M=43675mb, T=0s CPU=0s W=(2024-12-07 00:18:52)
STATS:: |   before StaticCheck: NldfgFlatDesign : M=1687.29mb, Malloc-M=470mb, Available-M=43675mb, T=0s CPU=0s W=(2024-12-07 00:18:52)
STATS:: |   |   before StaticCheck: createFlatDesign : M=1687.29mb, Malloc-M=470mb, Available-M=43672mb, T=0s CPU=0s W=(2024-12-07 00:18:52)
STATS:: |   |   after  StaticCheck: createFlatDesign : M=1695.31mb, Malloc-M=479mb, Available-M=43662mb, T=0s CPU=0.01s W=(2024-12-07 00:18:52)
STATS:: |   |   before StaticCheck: legalize : M=1695.31mb, Malloc-M=479mb, Available-M=43662mb, T=0s CPU=0s W=(2024-12-07 00:18:52)
